-2.1942;-0.086373;-0.15124;1.3233;-0.10541;-0.33008;-0.24132;-0.60719;-0.15681;-0.28422;0.1769;-0.084568;-0.045064;0.21495;-0.082327;-0.082339;-0.084068;-0.69059;0.52095;-0.082339;0.1245;0.10596;-0.44072;-0.082337;-0.082332;0.24852;0.0011113;-0.59392;0.20344;-0.94284;-0.16665;-0.082345;-0.46975;0.14664;-0.18701;0.4039;-0.082314;0.1739;0.45473;-0.082332;0.76286;-0.84128;0.30742;0.079495;-0.082339;-0.086779;-0.6715;-0.015981;0.38654;0.20821;0.16592;-0.66754;-0.63061;-0.79543;-0.3976;0.051785;0.44893;-0.082332;-0.082459;0.31332;1.1997;-0.082341;-0.79431;-0.25359;-0.47259;0.02459;0.3045;-0.92776;-0.084731;-0.083885;-1.3691;-0.082332;-0.14335;-0.082338;-0.027226;-0.082331;-1.0316;-0.24351;-0.082937;-0.082345;-0.082362;0.23543;-0.082337;0.50287;-0.049087;0.66567;-0.83274;-0.99609;-0.71602;-0.17431;0.25827;0.073655;-0.090417;-0.45006;0.090165;0.92837;0.71413;0.41464;-0.80117;-0.040916;-0.16773;-0.22273;-0.49921;-0.24449;-0.082354;0.26365;0.6628;-0.86871;-0.95513;-0.70906;-0.44368;0.50564;0.14508;0.55197;-0.3366;-0.12954;-0.082328;-0.52073;-0.061109;-0.14664;0.44385;0.24816;-0.14309;-1.394;-0.48084;0.6541;-0.21584;-0.092719;-0.37315;-0.55954;-0.08234;0.31144;0.38152;0.60101;-0.50134;0.38886;0.24976;-0.082333;0.19106;-0.60517;0.38149;-0.60127;0.52155;0.3581;0.40806;-0.082373;-0.72782;0.079922;-0.29874;-0.17106;-0.083965;0.4997;0.22688;-0.17508;0.98558;-0.082354;-0.082358;-0.082413;-0.77511;0.2527;-0.18441;0.31087;-0.058366
-1.3371;0.051356;0.20728;-0.39458;-0.11459;-0.26906;0.41348;0.40898;-0.040726;-1.0895;0.41199;-0.049883;-0.017573;0.35429;-0.053973;-0.055843;-0.050153;-0.31644;-0.69975;-0.055795;0.72214;0.38529;0.0030653;-0.055945;-0.056053;-0.49632;-1.0547;-1.3234;-0.98172;0.50169;-0.27898;-0.055655;-0.48545;-0.50644;-0.13444;-0.51949;-0.055631;-0.23471;0.279;-0.056114;0.57956;-0.43569;-0.6859;-0.19381;-0.055853;-0.049143;0.041995;-0.65631;0.24701;-0.83704;0.70893;-0.079364;0.95085;0.047519;-0.30836;0.47868;-0.25591;-0.056105;-0.05282;0.12383;-0.37146;-0.055739;0.23822;-0.35974;-0.52054;-0.0088099;0.62178;0.15787;-0.049784;-0.050279;-0.10734;-0.055848;-0.12516;-0.055891;-0.27912;-0.056111;0.78567;0.36591;-0.05136;-0.055261;-0.054672;0.59111;-0.055904;-0.44707;0.61814;-0.46038;0.13372;-1.1777;0.97971;0.49255;-0.13574;0.14434;-0.049762;0.13593;1.0374;0.24228;-0.27957;-0.85137;0.038226;-0.60827;0.51675;-0.21855;0.26372;0.40963;-0.054871;0.19525;-0.3305;0.45179;-0.05098;0.26068;-0.7438;-1.156;0.089537;0.091334;-0.038298;-0.12082;-0.055751;0.53273;-0.042591;0.88775;-0.020776;-0.020166;-0.27858;-0.98576;0.41358;-0.56182;-0.44347;0.066429;-0.11372;-0.37434;-0.055829;-0.41432;-0.62794;-0.17558;0.51427;0.20916;-0.4844;-0.055935;-0.74865;-0.04549;-1.4418;0.035309;-0.36578;-0.015635;-1.0867;-0.054163;0.15236;0.084603;0.27081;-0.20561;-0.050243;0.56845;0.014697;-0.34924;-0.36021;-0.054655;-0.054783;-0.053364;0.24136;-0.34219;-0.23818;0.006991;-0.78731
-2.8537;-0.11046;0.39732;-0.15835;0.084483;-0.84064;-0.28915;0.55694;-0.18638;0.48573;0.087439;-0.12826;-0.14367;-0.7361;-0.12966;-0.12941;-0.12862;0.69809;0.40647;-0.12943;0.035416;0.50162;0.23974;-0.12938;-0.12933;-0.58465;-0.10682;-0.81467;0.31939;0.37967;-0.17702;-0.12948;0.50095;-0.45308;-0.18669;-0.42648;-0.12945;-0.11599;0.096922;-0.12931;-0.31874;-0.60275;-0.35092;0.51385;-0.12941;-0.12802;0.10466;0.31967;-0.056058;0.12089;0.15325;-0.16161;0.073704;0.31001;-0.082637;0.64769;-0.19032;-0.12932;-0.1296;0.077797;-0.45152;-0.12945;0.20455;-0.19152;0.41575;-0.01497;0.66935;-0.66766;-0.12832;-0.1288;-0.43826;-0.1294;-0.41735;-0.12939;0.26915;-0.12931;0.24201;0.43676;-0.12919;-0.12958;-0.1297;-0.58403;-0.12939;-0.58849;-0.44127;0.79751;-0.29245;-0.38129;-0.45624;-0.79368;-1.1818;-0.25749;-0.12507;0.25974;-1.1082;0.3666;-0.32665;0.31978;0.12071;-0.69427;-0.91854;-0.12863;0.35986;0.38419;-0.12966;-0.043415;0.30891;-0.90205;0.085755;-0.38569;-0.10281;-0.83926;0.0269;-0.72816;-0.24788;-0.088794;-0.12943;-0.40718;0.010579;0.87178;0.33429;0.054141;-0.15342;-0.5718;0.21877;-0.31904;0.059491;0.17241;-0.38436;0.2259;-0.12942;0.073479;-0.54868;0.11954;-0.40833;0.12955;-0.5123;-0.12938;-0.55366;0.36152;0.14052;-0.43066;0.24877;0.659;0.55883;-0.12975;0.35734;0.030719;0.69431;-0.12685;-0.12848;0.58619;0.39072;-0.16222;-0.41869;-0.12969;-0.12968;-0.12972;0.23782;0.16531;0.53726;0.075805;0.37501
-2.3355;0.00086951;0.18944;0.29659;-0.022466;-0.22137;-0.3223;0.29117;-0.35776;0.40947;-0.64842;-0.08895;-0.21798;0.16574;-0.10272;-0.10627;-0.090942;0.3504;-0.21184;-0.1062;-0.47223;-0.63219;-0.65385;-0.10642;-0.10654;-0.88006;-0.052759;0.35514;0.33377;0.55092;-0.26153;-0.10601;-0.44034;0.56779;-0.21713;-0.5699;-0.10583;0.19099;-0.77678;-0.10663;-0.69231;0.52552;-0.77045;-0.48032;-0.10628;-0.084479;0.13442;0.26091;0.38777;-0.66285;-0.19303;-0.84306;-0.40008;0.50064;-0.19105;0.035996;0.17035;-0.10662;-0.10018;0.20127;-0.53396;-0.10612;0.45312;-0.27665;0.31748;0.033231;-0.58953;0.11803;-0.088786;-0.091851;-0.55687;-0.10624;-0.2688;-0.10634;0.18354;-0.10662;0.36643;0.67434;-0.095834;-0.10536;-0.10437;0.50532;-0.10635;-0.80027;-0.00034481;-0.61817;-0.35186;0.52624;0.46314;-0.52144;-0.57102;-0.20218;-0.072315;0.16381;0.18594;0.6885;-0.47255;-0.54592;0.22672;-0.33922;-0.0064064;-0.24703;-0.58401;-0.68825;-0.10471;-0.021981;0.50243;0.22708;0.52892;-0.45265;-0.059955;0.22048;0.0059751;0.23513;0.25186;-0.037856;-0.10608;-0.48217;-0.26398;-0.4206;0.46294;0.5028;-0.29206;-0.74851;-0.65693;-0.32935;-0.073814;-0.88889;0.47984;0.60384;-0.10625;-0.65001;0.56272;0.22123;-0.05066;0.46936;-0.65953;-0.10638;-1.0149;0.4956;-0.11212;-0.5117;0.62344;0.30772;0.56603;-0.10338;-0.68681;-0.13433;0.21725;-0.12212;-0.090828;0.18798;0.26431;-0.11501;-0.3334;-0.1043;-0.10456;-0.10163;0.33675;0.1369;-0.46728;0.014894;-0.56002
-1.8459;0.018818;0.13873;0.54991;-0.022703;-0.41551;0.62366;-0.42464;-0.25052;-0.29537;0.0061389;-0.067253;-0.24087;0.10475;-0.075364;-0.07706;-0.068609;-0.36636;-0.079845;-0.077029;-0.40114;0.34092;-0.49648;-0.077122;-0.077176;0.26152;0.04;0.029111;-0.34627;-0.77234;-0.29967;-0.076949;0.75715;0.37155;-0.27258;-0.21074;-0.076858;-0.19144;-0.58566;-0.077215;-0.72343;-0.67064;-0.40496;-0.79287;-0.077066;-0.064297;0.048735;0.19853;-0.66688;-0.57491;-0.72819;-0.58672;0.53568;-0.62328;-0.25253;0.0098789;-0.62572;-0.077208;-0.074046;-0.42522;-0.61879;-0.076997;0.33588;0.86409;-0.2576;0.10475;0.14646;0.48065;-0.067182;-0.06922;-0.67668;-0.077047;-0.21051;-0.077088;0.13203;-0.07721;-0.34642;-0.58367;-0.071602;-0.07666;-0.076205;0.23724;-0.077094;0.72508;0.11627;0.38649;-0.55951;0.29794;0.28658;0.34415;-0.49507;-0.39259;-0.054209;0.22686;0.37511;0.51397;-0.32316;0.12946;-0.0064898;0.32596;-0.40932;-0.28159;0.36881;-0.074291;-0.076361;0.035309;-0.41952;-0.61832;0.52156;-0.32234;-0.048418;-0.35671;0.023999;0.46586;0.53632;-0.066718;-0.076974;0.70592;-0.28987;0.56766;0.17781;0.51901;-0.27989;0.14867;-0.49428;-0.0094308;-0.20863;0.42715;-0.37498;0.49831;-0.077052;0.037473;-0.74723;0.48282;0.043878;0.40424;-0.48544;-0.077106;-0.9382;-0.35938;0.041223;0.55651;-0.50748;-0.32737;0.56752;-0.075725;-0.59672;-0.19049;0.263;-0.21338;-0.068477;-0.26729;0.30383;-0.33195;-0.30365;-0.076168;-0.076294;-0.074828;0.24711;0.035215;0.40909;0.21706;-0.37818
-2.0896;0.036326;-0.032485;-0.61539;-0.074395;0.48942;-0.32892;1.0471;-0.22425;-0.36551;0.6639;-0.10265;-0.061305;0.19041;-0.096321;-0.092965;-0.10223;0.078449;-0.26279;-0.093063;-0.70719;-0.67776;-0.96984;-0.09275;-0.092519;0.45062;0.17706;0.14063;-0.57442;-0.65696;-0.2654;-0.093359;-0.35558;0.3668;-0.25584;-0.22478;-0.093368;-0.3738;-0.53539;-0.09239;0.32645;0.31595;0.39417;-0.66888;-0.092944;-0.10607;0.035076;0.22631;0.051754;-0.54592;0.13033;-0.28115;0.17777;0.18919;0.98737;-0.12559;0.60004;-0.092409;-0.098115;-0.97003;-0.33516;-0.093182;-0.4937;-0.26973;-0.60287;0.40981;-0.55121;0.13822;-0.10307;-0.10211;0.24807;-0.092947;-0.33868;-0.092864;0.18412;-0.092397;-0.89899;-0.49181;-0.10014;-0.094146;-0.095277;0.26907;-0.092835;0.48813;0.066881;-0.82038;0.46781;0.040652;0.29914;-0.53816;-0.93713;-0.33641;-0.10621;0.59747;0.12454;-0.32347;0.78871;-0.39975;0.22616;0.57455;0.3966;-0.26565;-0.14146;-0.33278;-0.094901;0.19856;-0.304;-0.16205;-0.98327;0.039523;-0.17263;0.73456;-0.43463;0.37968;0.10077;-0.11026;-0.093142;0.42125;-0.13188;-0.44651;-0.51678;-0.66246;-0.29185;-0.029088;1.1765;-0.63196;-0.078485;0.073727;0.22094;-0.7906;-0.092994;-0.36397;0.30255;0.92251;0.2159;0.85498;-0.78757;-0.092767;0.42257;0.23032;-0.41416;-0.84149;-0.48061;0.31732;0.4413;-0.096165;-0.8864;-0.18281;0.27367;-0.20972;-0.10179;0.39635;0.28884;-0.22584;-0.56421;-0.095291;-0.09507;-0.09741;-0.0019373;-0.62049;-0.20243;0.14499;-0.26684
-2.5106;0.21818;-0.16284;0.89428;-0.071845;-0.46449;1.0186;-0.4738;-0.020447;-0.66143;0.63046;-0.11055;-0.096081;0.038568;-0.095659;-0.094398;-0.10777;-0.20617;-0.45428;-0.094402;-0.58121;0.060186;-0.76435;-0.094401;-0.094423;0.16605;0.013166;0.17052;-0.42514;-0.45172;-0.18499;-0.094398;-0.27459;0.034645;-0.11363;0.13743;-0.094509;-0.22876;-0.65872;-0.094426;0.4079;0.15137;0.1562;0.71177;-0.094399;-0.11841;0.12215;0.31386;0.26865;-0.77123;-0.10688;-0.65047;0.052574;0.31753;-0.51234;0.10226;-0.62887;-0.094427;-0.097383;0.54653;-0.66148;-0.0944;-0.66783;-0.28703;-0.61744;0.11712;0.89943;0.30743;-0.1109;-0.10656;0.21462;-0.094422;-0.042276;-0.094401;0.21627;-0.09443;-0.68115;-0.23307;-0.10158;-0.094505;-0.094775;0.3526;-0.094404;0.30946;-0.011965;0.5388;-0.99017;0.36697;0.12615;-0.44635;-0.58266;0.22783;-0.1378;0.2526;-0.12669;-0.39038;0.23765;-0.5938;-0.99443;-0.62575;-0.65742;-0.25892;0.098532;-0.18719;-0.094669;-0.34781;-0.3163;0.39047;0.3239;-0.56402;-0.15715;-0.074174;-0.7832;-0.82937;0.2996;-0.17674;-0.094444;0.41817;0.1344;-0.16706;-0.48939;-0.79783;-0.25138;-0.49375;-0.56046;0.48504;-0.22533;0.12312;0.48636;-0.62699;-0.094398;0.29484;0.15633;-0.76983;0.65459;-0.5918;0.31302;-0.094416;-0.02193;0.46352;0.32803;0.70152;0.32045;0.40811;-0.86324;-0.095213;0.35065;0.1103;0.27507;-0.20677;-0.10781;0.15282;0.37582;-0.20524;0.8552;-0.094818;-0.094711;-0.096275;-0.49022;-0.83193;-0.38408;0.26508;-0.27171
-2.3332;0.194;0.27714;-0.12216;0.027228;0.66022;-0.59073;-1.0241;-0.086051;0.032721;-0.31067;-0.12025;-0.32639;-0.55135;-0.10704;-0.10333;-0.11839;-0.99019;0.4499;-0.10341;0.4525;-0.91913;0.18162;-0.10317;-0.10302;-0.24791;0.16887;-0.48235;-0.12726;0.12736;-0.18867;-0.10363;0.41496;-0.55223;-0.14974;-0.21173;-0.10379;-0.054756;0.27807;-0.10293;-0.16407;0.27229;-0.42842;-1.0709;-0.10332;-0.12612;0.22341;-0.77832;0.24443;0.40825;-0.027718;0.35012;0.45198;0.38011;-0.099542;-0.91872;0.10057;-0.10294;-0.10956;0.16636;-0.3287;-0.1035;0.10006;-0.41937;-0.36309;0.022069;-0.67115;-0.58579;-0.12062;-0.1176;-0.77245;-0.10335;0.11452;-0.10326;0.30994;-0.10294;0.22958;0.03276;-0.11359;-0.10434;-0.10544;-0.33899;-0.10324;-0.22962;-0.024851;-0.79022;-0.52816;-0.45144;-0.46084;0.51191;0.39131;0.035177;-0.13753;-0.2173;0.25007;0.53585;-0.23746;0.20333;-0.038369;0.53233;0.56449;-0.052211;0.1637;0.17147;-0.10507;-0.011168;0.5073;0.47279;0.39033;-0.49437;0.13587;0.26244;-0.06272;-0.5484;0.38662;-0.18698;-0.10353;-0.36344;0.019307;-0.51169;0.63499;0.44127;-0.20124;0.33979;0.25852;-0.43529;-0.054101;0.2085;-0.36112;0.54034;-0.10336;0.21022;-0.37844;0.256;-0.59106;0.078372;-0.57476;-0.10321;-0.58085;0.34922;0.1853;-0.13799;0.45443;-0.82704;-0.75466;-0.10648;-0.83654;0.17283;-0.71286;-0.14015;-0.11826;-0.21163;-0.95681;-0.14944;-0.49831;-0.1055;-0.10523;-0.10823;0.54524;0.11882;0.63517;0.23457;-0.0043877
-2.2931;-0.84889;-0.088814;0.2489;-0.067965;-0.41102;-0.66275;-0.35516;-0.19803;0.37725;-0.44965;-0.12019;-0.052777;0.11108;-0.098224;-0.092535;-0.1173;0.31763;-0.64065;-0.092656;-0.0017222;-0.049843;-0.41979;-0.092286;-0.092042;0.26217;-0.041302;0.14922;-0.11078;-0.8135;-0.26337;-0.092998;-0.65547;-0.003041;-0.22012;0.44586;-0.093161;0.31305;-0.33599;-0.091893;-0.57072;0.23949;0.33475;0.51636;-0.092511;-0.12929;-0.42594;0.29019;-0.99197;-0.67587;-0.038738;0.81031;0.77198;-0.11298;-0.21021;-0.003529;0.15894;-0.091917;-0.10246;-0.7391;0.62379;-0.092792;-0.39646;-0.53611;0.94962;0.27716;-0.51042;0.71469;-0.12082;-0.11606;-0.72447;-0.092546;-0.04868;-0.09242;0.072786;-0.091907;0.36295;-0.041557;-0.10933;-0.094071;-0.09577;-0.88811;-0.09239;0.91703;-0.055754;0.35888;-0.38687;0.28119;0.20287;-0.20351;-0.48952;-0.035851;-0.14461;0.31321;-0.17606;0.84538;0.23441;-0.76056;-0.57544;-0.72586;-0.3945;-0.03953;-0.4212;-0.1531;-0.095185;0.23604;-1.2034;0.18325;0.31467;0.017057;-0.015289;-0.46229;-0.56094;0.33558;0.57559;-0.13765;-0.092805;-0.49156;-0.012691;-0.24413;0.60839;0.48664;-0.28931;0.12072;-0.14383;0.63783;-0.14408;-0.12166;0.27112;0.48396;-0.092569;0.058075;-0.0079727;0.76505;-0.26789;-0.97558;0.29865;-0.092325;0.19235;-1.0412;0.058553;-0.62684;0.26028;0.40289;-0.49436;-0.097405;0.8515;-0.036498;0.030806;-0.2182;-0.11701;0.41835;0.77466;-0.232;-0.58328;-0.095848;-0.095439;-0.10025;-1.0709;0.27624;-0.56177;-1.1409;-0.36138
-1.1584;0.067947;0.31564;-0.57023;-0.049366;0.38379;-0.72065;-0.43075;-0.2289;0.24279;-0.4244;-0.072498;-0.15432;-0.81857;-0.062977;-0.059928;-0.07151;-0.54573;0.44947;-0.060005;-0.61822;-0.90761;-0.17473;-0.059761;-0.059584;0.20383;-0.11954;0.17443;0.36276;-0.57742;-0.36669;-0.060238;0.58808;0.55212;-0.43199;-0.42268;-0.060255;-0.41137;-0.76676;-0.059486;-0.090118;-0.65879;-0.46766;0.19154;-0.059912;-0.076871;0.30882;0.28485;0.47743;0.46726;-0.286;-0.61773;-0.50011;-0.56588;-0.21995;-0.49745;0.33728;-0.0595;-0.065048;-0.6379;-0.32625;-0.060098;0.47677;-0.75147;-0.19202;-0.85748;-0.74518;-0.58051;-0.072932;-0.071118;0.45529;-0.059916;-0.28358;-0.05985;0.0083185;-0.059491;0.26676;0.17299;-0.068082;-0.060884;-0.06187;0.20199;-0.059827;0.38223;0.18066;0.25179;0.73263;-0.49028;0.16736;-0.31339;-0.72454;0.062277;-0.079038;0.22716;-0.081429;0.58936;0.41117;-0.65552;0.055464;-0.64554;-0.12423;-0.31169;-0.15213;-0.46023;-0.061534;0.015077;-0.074334;0.68364;-0.50623;0.48779;0.029134;-0.57509;0.062511;0.21712;0.41416;-0.098881;-0.06007;-0.41656;-0.4952;0.8263;0.61077;0.40283;-0.33608;0.38907;-0.52718;0.35408;-0.13426;0.15085;0.58065;-0.4691;-0.05995;-0.52177;0.14373;0.38202;0.80641;0.4254;0.33354;-0.059775;-0.20899;-0.30826;0.040903;-0.24307;0.046751;-0.55242;0.37291;-0.062725;-0.044996;-0.13596;0.18769;-0.32833;-0.071146;-0.34061;-0.67689;-0.40269;-0.12819;-0.061891;-0.061683;-0.064095;0.11285;0.099776;0.61753;-0.9657;-0.35703
